;03:Q1;03:Q2;03:Q3;03:Q4;04:Q1;04:Q2;04:Q3;04:Q4;05:Q1;05:Q2;05:Q3;05:Q4;06:Q1;06:Q2;06:Q3;06:Q4;07:Q1;07:Q2;07:Q3;07:Q4;08:Q1;08:Q2;08:Q3;08:Q4;09:Q1;09:Q2;09:Q3;09:Q4;10:Q1;10:Q2;10:Q3;10:Q4;11:Q1;11:Q2;11:Q3;11:Q4;12:Q1;12:Q2;12:Q3;12:Q4;13:Q1;13:Q2;13:Q3;13:Q4;14:Q1;14:Q2;14:Q3;14:Q4;15:Q1;15:Q2;15:Q3;15:Q4;16:Q1;16:Q2;16:Q3;16:Q4;17:Q1;17:Q2;17:Q3;17:Q4;18:Q1;18:Q2;18:Q3;18:Q4;19:Q1;19:Q2;19:Q3;19:Q4
AZ;1.63;1.36;1.62;1.41;0.95;0.74;1.21;0.91;0.67;0.88;0.52;0.49;0.55;0.27;0.65;0.76;0.84;1.58;2.35;3.52;5.47;5.63;6.39;7.89;11.01;11.20;12.23;14.49;13.18;11.80;10.89;9.57;8.49;6.76;6.84;7.38;6.43;6.39;5.35;4.12;3.49;3.19;2.89;2.70;1.92;1.63;1.41;1.61;2.16;2.16;1.78;1.31;1.89;1.68;1.54;1.71;1.27;0.76;0.85;0.89;0.65;0.52;0.40;0.55;0.47;0.52;0.64;0.55
CA;0.59;0.36;0.43;0.38;0.32;0.23;0.39;0.31;0.34;0.28;0.51;0.48;0.56;0.41;0.66;0.90;1.28;1.85;2.88;4.21;5.84;6.14;7.01;8.26;10.72;12.86;12.18;13.17;12.94;11.55;10.90;10.50;9.22;8.60;8.46;8.11;7.18;6.67;5.88;5.28;5.09;4.29;3.03;2.77;2.44;1.99;1.86;1.80;1.82;1.53;1.28;0.99;1.10;0.97;0.73;0.90;0.96;0.71;0.77;0.65;0.56;0.53;0.52;0.52;0.32;0.36;0.56;0.77
FL;1.31;1.51;0.99;1.00;0.94;0.80;0.70;0.63;0.64;0.68;0.58;0.55;0.61;0.46;0.64;1.37;1.82;2.09;2.83;4.17;7.75;8.50;9.91;13.46;16.23;18.11;18.25;19.05;20.63;19.36;18.42;18.36;17.76;17.23;16.79;16.69;16.15;15.26;14.46;13.10;13.41;12.15;10.14;9.31;8.72;7.15;6.82;6.42;5.62;4.85;4.29;3.96;3.67;3.39;3.04;2.67;3.06;2.88;2.23;1.52;1.99;2.44;2.24;1.78;1.59;1.16;1.13;1.37
IL;1.29;1.57;1.30;1.45;1.28;1.20;1.47;1.52;1.30;0.89;1.25;1.14;1.15;1.00;1.52;1.69;2.33;2.13;2.25;2.86;2.55;3.36;4.07;4.48;6.18;7.21;8.31;8.78;8.12;7.96;7.10;7.21;7.61;7.32;7.74;8.06;8.55;7.85;7.51;7.65;6.46;6.14;5.22;4.80;4.36;3.36;2.98;2.77;2.60;2.26;2.27;2.32;1.95;2.14;1.79;2.12;1.85;1.77;1.53;1.15;1.36;1.15;1.17;1.22;1.10;1.04;0.81;0.92
MI;1.51;1.38;1.29;1.23;1.13;1.47;1.90;1.76;1.70;1.56;1.52;1.60;1.49;1.42;1.92;2.04;2.62;2.60;3.71;3.38;3.31;3.43;3.30;4.34;5.37;5.60;6.81;7.81;7.64;7.10;5.76;5.95;6.38;5.67;4.65;4.68;3.97;3.68;3.83;3.81;4.01;4.15;2.62;2.65;2.43;2.33;2.41;2.12;1.38;1.13;1.30;1.44;1.46;1.01;1.00;1.12;1.05;0.58;0.94;0.94;0.63;0.67;0.68;0.79;0.79;0.51;0.32;0.66
NJ;1.78;1.61;1.15;1.27;1.13;0.90;0.85;1.15;1.34;0.76;0.39;0.74;0.82;0.61;0.79;0.73;1.12;1.34;1.67;2.57;4.27;4.11;4.75;6.01;7.36;7.81;7.20;7.52;7.25;7.54;7.12;7.78;8.44;7.81;7.97;9.11;9.50;9.26;9.39;8.82;9.19;9.75;9.47;8.65;8.27;7.73;7.07;6.91;6.59;5.46;4.53;4.49;3.72;3.19;2.71;2.95;3.60;2.46;2.51;2.97;2.74;2.28;2.74;2.37;2.12;1.54;1.60;1.36
NV;1.30;2.12;1.86;2.31;1.83;1.05;0.71;0.18;0.51;0.34;0.04;0.20;0.03;2.16;1.59;1.93;1.81;1.89;0.87;2.16;6.02;7.05;10.32;13.04;13.82;15.29;17.81;15.37;16.65;20.97;19.20;15.76;24.09;19.95;18.60;18.63;18.50;19.21;14.91;16.86;13.89;13.18;11.91;7.15;6.88;9.14;7.12;4.99;5.27;4.02;6.83;3.68;3.40;2.53;2.02;1.58;2.01;2.17;2.91;1.76;1.86;2.13;1.18;1.14;0.43;0.51;0.90;0.95
NY;1.65;1.52;1.46;1.47;1.32;1.18;1.23;1.20;0.98;0.82;1.14;1.03;1.04;0.84;1.12;1.52;1.85;1.95;2.44;3.20;3.80;4.36;5.18;6.03;6.77;7.72;9.24;10.55;10.92;11.55;10.73;10.38;9.90;9.54;9.64;9.48;10.05;9.83;9.69;8.91;8.97;9.58;9.68;8.68;8.61;7.59;7.40;7.99;7.40;6.23;5.88;5.46;5.22;3.95;3.95;3.52;3.77;3.98;3.85;3.63;3.12;2.79;2.31;2.75;2.69;2.06;2.55;2.36
OH;1.53;1.49;1.52;1.63;1.93;2.07;2.41;2.25;2.23;1.92;1.83;2.44;2.24;2.18;1.78;2.42;2.63;3.58;3.88;4.19;3.81;3.48;3.86;3.72;3.71;4.10;4.53;4.65;5.37;5.14;4.74;4.71;5.23;4.21;4.68;5.60;5.20;5.19;4.68;4.41;4.33;4.54;3.70;3.22;3.36;3.60;3.23;2.59;2.83;2.28;2.12;2.15;2.36;2.06;2.13;2.22;1.93;1.40;1.48;1.59;1.59;0.91;1.44;1.03;1.27;1.09;1.45;1.24
PA;1.42;1.13;1.07;0.87;1.05;0.92;1.02;1.24;1.08;0.85;1.05;0.93;0.75;1.03;1.04;1.15;1.56;1.29;1.84;1.62;1.53;1.62;1.67;2.38;2.54;3.40;3.69;3.82;4.64;5.03;4.29;4.49;4.77;4.68;4.99;4.42;4.06;4.31;4.44;4.70;4.58;4.73;4.81;4.67;4.48;4.63;3.58;3.75;2.96;2.75;2.21;2.02;2.14;2.08;2.01;1.93;1.92;1.77;1.99;1.75;1.30;1.11;0.92;0.78;1.08;0.98;0.90;0.96
