quarter;18-29;30-39;40-49;50-59;60-69;70+;all
00:Q1;1.92;1.23;1.02;0.93;0.41;0.85;1.07
00:Q2;2.05;1.19;0.97;0.92;0.44;1.12;1.06
00:Q3;1.67;1.21;0.93;0.81;0.48;1.11;1.01
00:Q4;1.77;1.33;1.13;0.90;0.45;1.27;1.13
01:Q1;2.07;1.32;1.18;0.96;0.60;1.32;1.18
01:Q2;2.11;1.45;1.34;0.94;0.60;1.14;1.26
01:Q3;2.78;1.61;1.39;1.06;0.69;1.17;1.38
01:Q4;3.02;1.66;1.32;1.12;1.03;1.00;1.41
02:Q1;3.08;1.63;1.45;1.08;1.41;1.11;1.47
02:Q2;2.90;1.58;1.38;1.18;1.41;0.91;1.44
02:Q3;2.67;1.48;1.44;1.21;1.48;0.96;1.44
02:Q4;2.66;1.41;1.56;1.17;1.20;1.60;1.45
03:Q1;2.78;1.50;1.46;1.25;0.76;1.72;1.44
03:Q2;2.82;1.59;1.51;1.19;0.91;1.97;1.50
03:Q3;2.63;1.66;1.52;1.16;0.92;1.99;1.50
03:Q4;2.61;1.67;1.37;1.14;0.98;1.76;1.44
04:Q1;2.09;1.58;1.35;1.01;0.93;1.37;1.34
04:Q2;2.14;1.52;1.33;0.97;0.80;1.30;1.29
04:Q3;2.30;1.54;1.42;0.98;0.85;1.54;1.34
04:Q4;2.09;1.59;1.43;1.06;0.86;1.30;1.36
05:Q1;2.41;1.56;1.32;1.13;0.85;1.57;1.36
05:Q2;2.31;1.65;1.24;1.18;0.96;1.52;1.37
05:Q3;2.09;1.62;1.15;1.15;0.82;1.64;1.31
05:Q4;2.18;1.60;1.14;1.06;0.74;1.44;1.27
06:Q1;2.23;1.69;1.23;0.98;0.87;1.29;1.32
06:Q2;2.38;1.63;1.25;0.98;0.79;1.31;1.31
06:Q3;2.85;1.97;1.43;0.98;0.76;1.05;1.46
06:Q4;3.19;2.04;1.73;1.25;0.94;1.21;1.68
07:Q1;3.87;2.26;1.93;1.55;1.12;1.45;1.94
07:Q2;5.02;2.82;2.37;1.86;1.48;2.02;2.40
07:Q3;5.29;3.48;2.71;2.38;2.05;2.65;2.89
07:Q4;6.70;4.73;3.54;2.73;2.55;2.87;3.68
08:Q1;7.34;6.53;4.54;3.31;3.35;3.42;4.71
08:Q2;7.97;7.52;5.13;3.97;3.49;3.20;5.32
08:Q3;9.47;8.04;6.07;4.79;3.79;3.26;6.04
08:Q4;10.17;8.84;6.63;5.38;4.17;4.55;6.65
09:Q1;11.04;9.04;7.60;6.58;4.53;4.98;7.39
09:Q2;11.64;9.80;8.83;7.20;5.34;6.38;8.26
09:Q3;10.88;10.06;9.13;7.11;5.46;6.43;8.35
09:Q4;10.02;10.13;9.04;7.34;5.45;5.90;8.30
10:Q1;8.85;9.40;8.26;7.15;4.91;5.59;7.70
10:Q2;7.04;8.38;7.57;6.68;4.42;4.74;6.96
10:Q3;6.16;7.80;6.86;6.57;4.06;4.87;6.49
10:Q4;4.98;6.61;6.33;6.14;3.76;4.36;5.84
11:Q1;4.32;6.00;5.89;5.05;3.56;5.68;5.29
11:Q2;4.03;5.45;5.27;4.80;3.21;4.97;4.83
11:Q3;3.56;5.18;5.26;4.29;3.55;4.54;4.64
11:Q4;3.59;5.12;5.15;4.25;3.45;4.87;4.58
12:Q1;3.44;4.83;4.99;4.22;3.61;3.21;4.41
12:Q2;3.30;4.67;4.59;3.96;3.49;3.65;4.18
12:Q3;3.40;4.37;4.11;3.85;3.05;3.50;3.88
12:Q4;3.36;3.93;3.70;3.30;2.99;3.11;3.48
13:Q1;3.06;3.56;3.40;2.92;2.81;3.01;3.18
13:Q2;2.86;3.25;3.24;2.75;2.74;2.70;2.99
13:Q3;2.51;2.96;2.97;2.56;2.45;2.63;2.74
13:Q4;2.04;2.69;2.70;2.58;2.13;2.47;2.54
14:Q1;1.91;2.50;2.38;2.49;1.91;2.13;2.33
14:Q2;1.74;2.24;2.29;2.15;1.75;1.82;2.11
14:Q3;1.76;1.99;2.12;2.01;1.71;1.37;1.94
14:Q4;1.59;1.84;2.01;1.87;1.57;1.33;1.81
15:Q1;1.34;1.76;1.94;1.91;1.10;1.36;1.70
15:Q2;1.20;1.65;1.89;1.88;1.01;1.48;1.65
15:Q3;1.13;1.69;1.74;1.89;0.99;1.75;1.63
15:Q4;1.04;1.59;1.84;1.71;0.89;1.46;1.55
16:Q1;1.00;1.48;1.79;1.55;1.09;1.29;1.49
16:Q2;1.03;1.45;1.51;1.62;1.06;1.06;1.41
16:Q3;0.79;1.21;1.48;1.47;1.04;0.84;1.29
16:Q4;0.78;1.10;1.33;1.60;1.20;0.90;1.29
17:Q1;0.87;1.13;1.27;1.50;1.13;0.90;1.24
17:Q2;0.81;1.13;1.31;1.44;1.06;1.09;1.23
17:Q3;0.90;1.15;1.35;1.43;1.00;1.00;1.24
17:Q4;0.84;1.10;1.29;1.25;0.91;0.90;1.14
18:Q1;0.77;1.11;1.24;1.28;0.88;1.03;1.13
18:Q2;0.82;1.14;1.25;1.34;0.97;1.05;1.17
18:Q3;0.77;1.04;1.23;1.39;0.93;1.29;1.17
18:Q4;0.87;1.02;1.19;1.50;0.84;1.33;1.18
19:Q1;0.83;0.93;1.14;1.40;0.83;1.05;1.09
19:Q2;0.82;0.92;1.15;1.27;0.72;0.92;1.03
19:Q3;0.87;0.90;1.09;1.24;0.70;0.74;0.99
19:Q4;0.90;1.01;1.21;1.18;0.84;1.25;1.10
