;AUTO;CC;MORTGAGE;HELOC;STUDENT LOAN;OTHER;ALL;;;AUTO;CC;MORTGAGE;HELOC;STUDENT LOAN;;
14:Q2;1.61;3.74;2.11;1.62;10.33;3.81;2.89;;14:Q2;4.38;6.88;52.36;2.35;24.84;3.74;94.55
14:Q3;1.73;3.85;1.94;1.58;10.24;3.85;2.79;;14:Q3;5.18;7.04;49.33;2.57;24.96;3.75;92.83
14:Q4;1.88;3.92;1.81;1.51;10.13;3.82;2.71;;14:Q4;7.97;8.85;52.61;1.63;29.48;4.47;105.01
15:Q1;1.96;3.76;1.70;1.22;10.12;3.96;2.63;;15:Q1;5.68;13.62;47.85;2.09;25.81;3.52;98.57
15:Q2;2.00;3.80;1.65;1.19;10.27;4.04;2.62;;15:Q2;6.76;9.36;33.76;4.42;27.90;3.38;85.58
15:Q3;2.04;3.85;1.63;0.99;10.18;4.04;2.60;;15:Q3;6.18;7.15;42.78;1.13;27.97;3.53;88.74
15:Q4;2.09;3.72;1.55;0.97;10.04;4.03;2.54;;15:Q4;6.91;7.24;44.72;1.43;29.41;4.78;94.49
16:Q1;2.18;3.69;1.49;0.94;9.72;4.06;2.48;;16:Q1;6.88;6.52;40.21;1.61;25.57;4.58;85.37
16:Q2;2.18;3.51;1.41;0.96;9.43;4.01;2.39;;16:Q2;6.26;5.79;30.57;1.39;26.89;3.89;74.79
16:Q3;2.21;3.51;1.29;1.02;9.53;4.16;2.33;;16:Q3;7.54;7.74;33.12;1.71;28.52;4.52;83.15
16:Q4;2.25;3.71;1.29;1.13;9.42;4.40;2.36;;16:Q4;8.24;9.10;38.15;2.23;30.99;4.59;93.30
17:Q1;2.30;4.08;1.24;0.97;9.64;4.46;2.38;;17:Q1;8.27;9.66;39.16;1.14;28.86;7.50;94.59
17:Q2;2.31;4.42;1.24;0.87;9.73;4.65;2.41;;;;;;;;3.84;3.84
17:Q3;2.36;4.60;1.24;0.92;9.64;4.66;2.43;;;;;;;;4.44;4.44
17:Q4;2.33;4.64;1.14;0.90;9.29;4.59;2.32;;;;;;;;5.45;5.45
18:Q1;2.29;4.72;1.13;0.99;8.89;4.63;2.28;;;;;;;;5.04;5.04
18:Q2;2.34;4.76;1.18;1.14;8.59;4.75;2.31;;;;;;;;;
18:Q3;2.30;4.80;1.18;0.99;9.07;4.88;2.35;;;;;;;;;
18:Q4;2.36;4.99;1.19;0.81;8.94;4.89;2.36;;;;;;;;;
19:Q1;2.36;5.04;1.10;0.85;9.38;4.88;2.35;;;;;;;;;
19:Q2;2.34;5.17;1.04;0.72;9.89;4.77;2.37;;;;;;;;;
19:Q3;2.34;5.16;0.99;0.83;9.26;4.67;2.27;;;;;;;;;
19:Q4;2.36;5.32;1.10;0.85;9.21;4.70;2.36;;;;;;;;;
