quarter;18-29;30-39;40-49;50-59;60-69;70+
17:Q1; 33.1 ; 132.9 ; 123.0 ; 118.3 ; 56.7 ; 26.6 
17:Q2; 36.4 ; 111.1 ; 112.2 ; 90.0 ; 49.9 ; 21.2 
17:Q3; 48.1 ; 134.7 ; 124.2 ; 93.2 ; 56.7 ; 22.4 
17:Q4; 45.1 ; 129.6 ; 115.7 ; 85.8 ; 52.8 ; 22.4 
18:Q1; 29.1 ; 101.9 ; 128.8 ; 84.5 ; 56.5 ; 27.1 
18:Q2; 37.4 ; 120.7 ; 109.1 ; 90.7 ; 51.5 ; 27.5 
18:Q3; 47.0 ; 124.8 ; 110.8 ; 88.2 ; 54.7 ; 19.8 
18:Q4; 36.1 ; 115.0 ; 111.3 ; 72.1 ; 42.5 ; 24.6 
19:Q1; 29.7 ; 99.4 ; 85.5 ; 67.9 ; 39.9 ; 21.4 
19:Q2;43.65;130.1;119.8;96.51;55.81;28
19:Q3;45.56;156.8;142.5;96.92;56.47;29.6
19:Q4;65.84;210.1;208.5;143.8;88.49;34.46
