;AUTO;CC;MORTGAGE;HELOC;STUDENT LOAN;OTHER;Total;;;AUTO;CC;MORTGAGE;HELOC;STUDENT LOAN;OTHER;
14:Q2;6.91;5.47;4.65;3.52;11.58;6.74;5.47;;14:Q2;15.10;9.24;101.03;5.10;27.22;4.95;179.97
14:Q3;7.10;5.42;4.48;3.34;11.50;6.71;5.36;;14:Q3;18.38;9.74;111.87;4.34;28.20;6.00;199.43
14:Q4;7.15;5.35;4.20;3.18;11.12;6.81;5.14;;14:Q4;19.83;10.89;97.67;3.28;29.92;6.54;201.19
15:Q1;6.93;5.30;4.05;2.81;10.81;6.34;4.96;;15:Q1;14.16;16.21;84.44;3.83;27.15;5.81;173.78
15:Q2;7.11;5.32;4.09;2.44;10.74;6.50;5.00;;15:Q2;20.04;11.80;92.95;5.44;29.45;5.94;162.64
15:Q3;7.05;5.45;3.94;2.42;10.47;6.45;4.88;;15:Q3;19.93;10.65;98.32;3.76;29.61;6.85;178.52
15:Q4;7.13;5.27;3.85;2.58;10.46;6.46;4.84;;15:Q4;20.50;9.15;91.28;3.80;30.71;7.29;168.14
16:Q1;7.27;5.15;3.70;2.39;10.16;6.43;4.71;;16:Q1;16.81;8.80;73.88;2.46;27.03;8.77;151.60
16:Q2;7.28;5.07;3.43;3.17;9.88;6.40;4.53;;16:Q2;20.99;9.03;73.89;6.02;28.43;6.08;165.62
16:Q3;7.35;5.15;3.43;2.95;9.88;6.54;4.55;;16:Q3;22.98;11.86;97.22;2.93;29.71;6.92;169.12
16:Q4;7.46;5.52;3.38;2.73;9.80;6.71;4.55;;16:Q4;23.27;12.31;80.63;3.04;32.56;7.67;162.73
17:Q1;7.35;5.90;3.51;2.52;10.00;6.97;4.68;;17:Q1;17.05;12.30;88.56;1.80;30.16;6.79;137.74
17:Q2;7.45;6.19;3.61;1.75;10.13;7.08;4.76;;;;;;;;;144.44
17:Q3;7.39;6.33;3.46;2.11;10.02;7.05;4.67;;;;;;;;;171.62
17:Q4;7.21;6.33;3.40;2.05;9.61;6.92;4.57;;;;;;;;;159.48
18:Q1;7.28;6.42;3.38;2.22;9.18;7.10;4.54;;;;;;;;;156.66
18:Q2;7.15;6.40;3.41;2.26;8.84;7.16;4.52;;;;;;;;;
18:Q3;7.05;6.50;3.56;1.77;9.21;7.23;4.64;;;;;;;;;
18:Q4;7.09;6.65;3.55;1.75;9.08;7.35;4.65;;;;;;;;;
19:Q1;7.07;6.71;3.50;1.89;9.54;7.32;4.67;;;;;;;;;
19:Q2;6.93;6.86;3.43;1.90;10.01;7.25;4.67;;;;;;;;;
19:Q3;6.96;6.74;3.42;2.10;9.44;7.18;4.60;;;;;;;;;
19:Q4;6.91;6.95;3.50;2.11;9.44;7.28;4.67;;;;;;;;;
